,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1275,1275,0,0.7448,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",great taste product use mexican food try hot dog great spicy give try
1276,1276,0,0.8798,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",taco bell chipotle sauce quite enjoyable tangy yet spicy taste would expect use burritos dip question like flavor chipotle sauce enjoy high calorie expect mind need lot enjoy flavor yet two tablespoon sauce contains calorie fat total calorie per serve size serve size aforementioned two tablespoon taste great aware high fat content calorie serve size measure spoon full know calorie high even would get product
1277,1277,0,0.9033,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",taco bell bold creamy chipotle sauce perfectly describe name thick sauce strong smoky flavor although quite spicy little heat first use spice black bean serve side dish taco bean bland always need something sauce perfect addition sauce also work beautifully falafels right amount spice give pita bread sandwich stuff lettuce tomato cucumber falafel ball need jolt finally use sauce veggie burger also work beautifully pleased result time use find sauce versatile negative low calorie two tablespoon calorie fat calorie use sparingly say sufficiently spice little long way
1278,1278,0,0.8781,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",wonderful product one din taco bell use eat younger college year pleased try product find great first like bottle huge taste stay fresh instead get stale lack use many dressing topping etc fridge nice smaller bottle second taste excellent love creamy texture little heat chipolte flavor interesting hot use home make taco salad also use sauce noodle dish make like south border spaghetti grandchild like noodle make noodle taco flavor meat sauce veggie thrown mexican style noodle dinner love highly recommend product
1279,1279,0,0.8475,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",great sauce use sandwich give little extra kick love grill chicken lettuce tomato would thin bit use salad right sandwich could get creative meatloaf maybe
1280,1280,2,0.695,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",ordered product hop would really change mind use whey soy didnt mix protein drink taste like dirt grass good product
1281,1281,0,0.8828,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",noodle take couple minute make one flavoring pack indomie noodle absolutely fantastic cheaper take little effort make buy brand use mood strike reason write review however price every asian store sell noodle pack charge around definitely worth buying asian store though asian store sell sapporo hop amazon start sell box less asian store sell single packet hint hint amazon note indomie noodles half price least asian market
1282,1282,0,0.8557,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",easy use pre measure packet smell flavor like theater good popcorn negative side two comment put half season way salty many unpopped kernel otherwise make watch movie home lot fun
1283,1283,1,0.7937,"snack, love, bar, price, chip, find, buy, try, eat, would",everyone family like chip great taste healthy compare chip like spicy food enjoy
1284,1284,1,0.8275,"snack, love, bar, price, chip, find, buy, try, eat, would",typically breakfast blend coffee simply taste bad recommend try variety pack rather buy one big pack
1285,1285,0,0.8208,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",brand always amaze people coffee flavor vermont country blend one husband try time love
1286,1286,0,0.7143,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",love raw cacao really good value much expensive whole food make banana ice cream pudding taste amaze frozen banana puree teaspoon raw cacao pinch salt place freezer bit set simple healthy toddler approve
1287,1287,2,0.8027,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",mat eacute awesome drink rosamonte make affordable good tasting product would recommend product friend family
1288,1288,2,0.4706,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",never make orange self miked cream soda make company people beg recipy never follow instruction taste brand soda prepare poorly tho tip pound sugar per gallon less master rule
1289,1289,0,0.8683,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",actually like taste drink would drink without energy factor taste alone reason give product four star two serving one drank one serving time could detect extra energy alertness coffee drinker though caffeine excessive amount probably right amount give one jitter like
1290,1290,0,0.8254,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",taste great say much energy factor although point energy drink usually much nice mango flavor taste like weird chemical try
1291,1291,1,0.8742,"snack, love, bar, price, chip, find, buy, try, eat, would",product good taste like many energy drink taste like berry smooth tart least four ounce glass day notice huge spike energy need afternoon nap either make jittery etc sleep well night wish come diet drink calorie would recommend taste
1292,1292,0,0.5969,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",enjoy taste fear say give energy energy drink market today since occasionally indulge energy drink time time say deliver much energy supplement brand four star mainly taste
1293,1293,1,0.8259,"snack, love, bar, price, chip, find, buy, try, eat, would",brand energy drink taste good really give jolt energy jitter afterwards notice difference focus problem make jittery one really worked side effect
1294,1294,0,0.8263,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",really enjoy bole angel hair pasta heavy tasty kid picky best product find appease request quick easy pasta
1295,1295,2,0.5312,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",best angel hair pasta far concerned taste texture great
1296,1296,2,0.5428,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",couscous absolutely wonderful couscous large pearl delicious serve hot cold cook beautifully delicious plain mushroom mint one dozen addition highly recommend
1297,1297,2,0.5968,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",usually order product actual gevalia site flavor quite yummy also order cafe sperl also know viennese coffee first open bag nose tickle pungent smell chocolate lighter aroma raspberry coffee taste unique raspberry flavor enjoyable either freshly brewed chill
1298,1298,1,0.7708,"snack, love, bar, price, chip, find, buy, try, eat, would",love dress good fruity flavor already recommend friend
1299,1299,2,0.6951,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",buy hubby love dark rich coffee dark magic offer great convenience kcup make much nicer
1300,1300,1,0.838,"snack, love, bar, price, chip, find, buy, try, eat, would",love order line esp amazon run coffee get email special deal simply order day product ship coffee fantastic try also donut shop great
1301,1301,0,0.8337,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",grateful keurig coffee maker taste green mountain brand dark magic terrific get used real fast
1302,1302,1,0.8923,"snack, love, bar, price, chip, find, buy, try, eat, would",first nutrition fact serve size cup serving per container calorie fat sodium carbohydrates dietary fiber sugar carbs protein granola really tasty chocolate chunk add nice flavor texture granola crunchy come plastic zip seal bag much chocolate sugar mean health food great snack least nutrient unlike candy bar instance taste good better disclosure although pay review receive one pouch product free
1303,1303,1,0.8523,"snack, love, bar, price, chip, find, buy, try, eat, would",confess eat granola bowl milk keep stored airtight container use shot glass scoop ounce time snack easy toss back use shot glass finger stay clean good bad ingredient
1304,1304,1,0.8773,"snack, love, bar, price, chip, find, buy, try, eat, would",product alternative eating granola bar downside portion control easy granola bar whereas start eat product bag difficult stop also gauge much eaten unless first scoop want put onto plate weigh food scale doubt people tasty calorie granola bar similar portion piece chunk piece single granola flake chip though really bother much like since superior taste chocolate chip granola bar eat since easy eat large portion stick granola bar portion control concern great snack
1305,1305,0,0.6592,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",mean granola connoisseur stuff pretty darn tasty product make natural ingredient honestly lot chocolate right amount dark chocolate bitter sweet overall nice blend taste delicious maybe little pricey dealbreaker consider make real ingredient say taste value recommend
1306,1306,1,0.7103,"snack, love, bar, price, chip, find, buy, try, eat, would",granola mix roll oat semi sweet chocolate chunk find description bag whether snack cereal snack bit dry taste sweet delicious quaker natural quite enjoyed milk crunchy texture right chocolate treat like granola good one good source fiber
1307,1307,1,0.7964,"snack, love, bar, price, chip, find, buy, try, eat, would",typically tea drinker first pot make coffee every day would definitely recommend
1308,1308,0,0.7357,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",cherry nut soda drink sort cherry flavour want try great taste wrong vitamin thrown good measure popular already drink heathy soda airforce nutrisoda flex black cherry apple ounce can pack
1309,1309,1,0.846,"snack, love, bar, price, chip, find, buy, try, eat, would",try another switch product less pleased maybe flavor think suppose watermelon black cherry lot easier although still tad acidic taste good know like black cherry brian fairbanks
1310,1310,1,0.8709,"snack, love, bar, price, chip, find, buy, try, eat, would",try samu whim think would taste like many coconut water drink perhaps healthy terribly tasty surprise samu fantastic taste fresh right amount sugar brings subtle pleasantness along design pretty cool purchase support independent label highly recommend product sure continue purchase
1311,1311,1,0.4725,"snack, love, bar, price, chip, find, buy, try, eat, would",great quality olive oil slightly grassy overtone flavor obviously bit expensive average everyday supermarket olive oil well worth money
1312,1312,1,0.8487,"snack, love, bar, price, chip, find, buy, try, eat, would",really good tasting lentil first thing notice lack shinny coat see store buy lentil open big tell right away something different cook easily hold shape taste great
1313,1313,1,0.807,"snack, love, bar, price, chip, find, buy, try, eat, would",excellent snack healthy nutricious son love tad pricier brand taste better
1314,1314,0,0.8583,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",french roast far favorite like strong taste coffee also like new packaging glad buy keurig cup holder way coffee package put covered container type cup recycles better
1315,1315,1,0.8024,"snack, love, bar, price, chip, find, buy, try, eat, would",product exceed expectation make feel better drink buy thank talk show
1316,1316,0,0.9055,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",coffee preference matter taste opinion regard taste probably mean much try coffee tell soft bottom cup certainly different usual plastic cup initially concern well would work keurig make fifty brew work perfectly loose grind leave behind pod well mug anywhere else cost little less cup nice plus minor drawback come plastic bag open allow exposure pod air simple fix put remain pod ziplock bag like taste french roast coffee fact also cheaper competition hopefully patent cup expire september see vendor offer better price probably keurig recently come new brewer vue use different patent cup
1317,1317,0,0.8956,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",receive package today fog chaser first cup really good full body full taste like come ground fresh know work company think would like honest review someone buy box cup coffee month notice sediment cup yes cut corner leave pastic cup avoid copyright say would owe kuerig percentage drive price coffe cup cup fit cup maker advertise live put filter cup baggie need show coffee carousel great get subscription discount good coffee fit cup brewer
1318,1318,0,0.6034,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",buy kona blend dry price roof tried several different cup coffee find fog chaser subscribe save list sent office home son home every month kona almost bold aroma fill kitchen morning first sip great every time price kona best bang buck never back
1319,1319,0,0.8871,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",many review mention normal cup work much generally drink stronger cup emeril jet fuel kona etc find fog chaser pod compare favorably bitter aftertaste smooth flavor sediment bottom cup sediment cup think people bite thrown smell coffee bag get much stronger smell get box cup smell like open fresh bag ground coffee sort refresh use cup year finish first bag day keep ziplock bag last cup taste good first already place subscribe save order french roast try keep subscription fog chaser quite good
1320,1320,0,0.511,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",product make great cup cofee bold bitter bad taste smell start experience satisfy full flavor follow buy product long available
1321,1321,0,0.8146,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",pink edible pearl wonderful addition cake cooky instantly add sophistication piece
1322,1322,0,0.8249,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",say agree first reviewer really good experience product buying friend come quickly product unique something everyone use customer service outstanding
1323,1323,1,0.8109,"snack, love, bar, price, chip, find, buy, try, eat, would",great taste kid love worry genetically engineer ingredient little pricey care organic
1324,1324,1,0.7479,"snack, love, bar, price, chip, find, buy, try, eat, would",different kind cookies one rock would never know gluten free
1325,1325,0,0.8704,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",get small gift girlfriend always forget buy cheap popcorn store thought would enjoy unique gourmet popcorn right really like especially purple kind cook stove oil work perfectly however idiot like splash oil face feel good popcorn great distinct flavor think return
1326,1326,0,0.8364,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",product pretty delicious love use stevia instead fake sugar natural product seem less likely cause cancer wish thing would use instead
1327,1327,1,0.7144,"snack, love, bar, price, chip, find, buy, try, eat, would",love flavor toasted pecan coffee great flavor good coffee taste easy brew right strength pleasure wake smell toast pecan freshly brew coffee second time purchase coffee definitely
1328,1328,0,0.8259,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",receive small box ginger honey crystal fell love great way bump cup hot tea strong would recommend start small portion order two bag thirty pack daughter law want pack love
1329,1329,0,0.7392,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",get cracker locally price lot higher absolutely love cracker deep rich cheese flavor continue purchase cracker amazon complement holiday
1330,1330,1,0.4383,"snack, love, bar, price, chip, find, buy, try, eat, would",thrill extract order tuesday night friday afternoon come wrap nicely plenty bubble wrap tissue paper accompany nice little note seller thank order smell wonderful smell like cocoa powder use bake good even savory food add gravy give little something extra phenomenal whip cream cooky brownies sweetbread cake even coffee hot chocolate sweet extract give depth food without add additiona sugar definitely ordering future definitely order merchant impressed quality customer service provide
1331,1331,0,0.8742,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",flavorful give amazing taste salad food general pinch make huge difference way food taste like type salt use since discover put meat fish veggie salads soup etc everything taste better salt wish would offer bigger size usually order time last since size small sorry order salt
1332,1332,2,0.4487,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",love little figs great snack pop mouth size definately buy
1333,1333,2,0.7959,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",get kid easter basket something different loved taste great even travel well great treat take car stick purse time crave ice cream
1334,1334,0,0.7475,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",true flavor last long time taste great last long enough
1335,1335,0,0.8833,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",first let say huge fan endanger specie chocolate first time however try particular mixture love orange chocolate combination one definitely fall short unfortunately gather type bitterness guess add much pith create orange oil smooth delightful start eat pronounce bitter taste becomes disappointed purchase order type
1336,1336,2,0.7917,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",use treat reward get groom table three dog line pick groom brush treat
1337,1337,0,0.828,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",good taste like original jack link little flavor tender dry little salty side bag huge though tiny amount bag disappointing
1338,1338,0,0.794,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",diagnose thyroid nodule later turn cancer thought better try get iodine family diet research found dulse great natural source iodine try package find pretty good package come suggestion stir fry minute hot skillet make like chip try family enjoyed much better way quality dulse great price seem comparable others could find ordered use regular supplement diet
1339,1339,0,0.7198,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",must snack like lemonheads almond wrong found walgreens decide give try hook addict look lemonhead almond luckily amazon come rescue able purchase two bag regret buying yummy
1340,1340,0,0.8361,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",son love food combination eats without complaint ingredient simple taste straightforward funky baby food smell like normal food jar often buy
1341,1341,0,0.5524,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",taste balsamic vingear good price vinegar come spray bottle wonderful salad cut waste add anything else vinegar come six pack bottle ounce price six pack best sell ounce bottle never taste quality like state earlier delallo taste deliteful make italy
1342,1342,1,0.8541,"snack, love, bar, price, chip, find, buy, try, eat, would",diabetic always carry one little delicious add sugar snack purse case need pick prevent low blood sugar another thing favor snack gluten free order amazon fast always seem food product need
1343,1343,0,0.5385,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",cooky taste great prepackaged throw lunchbox child gluten free diet save time food prep always appreciate definitely favorite house love small size best taste chocolate chip cookie far find gluten free
1344,1344,1,0.8646,"snack, love, bar, price, chip, find, buy, try, eat, would",chip make wonderful snack give crunch saltiness need time without lot calorie also contain protein keep get hungry meal time come single serving size package nice mindful portion control would order
1345,1345,0,0.704,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",treat great dog crazy small really like also use conceal small pill need give dog medicine
1346,1346,0,0.8471,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",order hot mix mistake read carefully enough matter mix great burn face hot hate super easy quick make tasty highly recommend
1347,1347,1,0.7611,"snack, love, bar, price, chip, find, buy, try, eat, would",pistachio ton better get trader joe high quality great taste
1348,1348,2,0.7423,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",best somehow fresher taste enjoy yet good buy
1349,1349,0,0.8197,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",taste great used supplement cooking also people give concern package mine completely fine
1350,1350,1,0.823,"snack, love, bar, price, chip, find, buy, try, eat, would",curry paste geat taste use soup stir fry vegetable dish anything would like add extra zing
1351,1351,1,0.7763,"snack, love, bar, price, chip, find, buy, try, eat, would",like spicy snack cracker hard find anywhere else really good price
1352,1352,1,0.8267,"snack, love, bar, price, chip, find, buy, try, eat, would",amber golden retriever ate food right give star say delicious notice food puffed neither good bad observation suppose limited storage space would issue food normally give definitely compact less airy
1353,1353,1,0.7292,"snack, love, bar, price, chip, find, buy, try, eat, would",buy vita coco pure coconut water husband love tryed different kind coconut drink preservative junk tasty one taste great healthy
1354,1354,0,0.5143,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",love stuff could drink day long nice smooth extremely refresh amount get price perfect catch flack expensive best coconut water market
1355,1355,1,0.7965,"snack, love, bar, price, chip, find, buy, try, eat, would",ship fast taste great remind drink real chill green coconut sidewalk thailand
1356,1356,0,0.5162,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",mostly dry crouton little flavor need try find way salvage mix one eat way right expect something like chex party mix greatly disappointed much flavor spice enjoyable snack mix less flavor bag salad crouton plain pretzel
1357,1357,1,0.7943,"snack, love, bar, price, chip, find, buy, try, eat, would",reviewer right better wheat thins buy long time crunch think sea salt make tastier
1358,1358,0,0.8094,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",try give soda find sparkle ice spring water great substitute love taste bob
1359,1359,0,0.4803,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",kraft homestyle mayonnaise rich creamy good quality mayonnaise certainly buy previously buy mayonnaise sits fridge age maybe generation mayonnaise fast taste good use tuna hard boil egg salad highly recommend
1360,1360,0,0.8532,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",always case two maruchan ramen pantry shrimp flavor especially good always drain soup noodle serve especially like spinach sauteed onion head garlic seriously try remarkably flavorful cost next nothing noodle chop green onion dress little curry powder try top ramen past prefer maruchan
1361,1361,0,0.8257,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",good product come close fresh kitchen break clump add water get right consistency easy one would think
1362,1362,0,0.8735,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",nice green tea try since love anything mango flavor perfect whether hot iced creamer smell amaze well like real mango like pack eco friendly like celestial seasoning still pretty nice packet individually seal staple bag get weird taste add tea
1363,1363,1,0.8823,"snack, love, bar, price, chip, find, buy, try, eat, would",kid love hamburger helper figure would great new product try since anything velveta good easy make take minute complete kid absolutely love thought taste great complaint visually unappetizing look like picture box kind grayish brown color actually worried bit tried luckily kid really care look enjoy kraft would benefit work presentation
1364,1364,1,0.8563,"snack, love, bar, price, chip, find, buy, try, eat, would",busy schedule appreciate easy boxed meal cook every say prefer brand hamburger helper taste quality product instruction easy follow food tasty nice back pantry feel like make meal scratch
1365,1365,1,0.8384,"snack, love, bar, price, chip, find, buy, try, eat, would",husband love velveeta shell cheese try quick easy need anything meat may want add salad veggie round dinner
1366,1366,0,0.9015,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",pretty tasty eat sort thing admit rare guilty pleasure compare brand doubt main competitor think one taste better probably already mixed almost cheese sauce include also replaces milk usually add pretty much toss term nutrition give look nutritional champ begin prepare one calorie per serve calorie fat one sodium one kraft velveeta cheesy skillet come slightly ahead overall protein compare dietary fiber compare less gram competitor difference probably attributable cheese sauce sauce also push one edge total fat one ground beef add difference recommend daily amount virtually none good fat either one significant although brand claim zero transfat also list partially hydrogenate oil one ingredients mean certainly contain transfat less half gram per serve would require full disclosure eat whole package cup realistically dinner leftover lunch two easily might could get whack much transfat mention saturate fat ground beef add gram sodium probably need skip another meal day avoid recommended daily value sodium might consider fast day plan eat one serving say guilty pleasure definition nutritionally sound choice make case thing price availability equal probably choose one choose
1367,1367,1,0.6154,"snack, love, bar, price, chip, find, buy, try, eat, would",skeptical buy buy cheap coffee always disappointed taste taste great environmental factor bonus
1368,1368,2,0.5905,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",order delicious kadayif dessert sister birthday present also buy amazon take parent house celebrate house everyone party enjoy delicious kadayif serve turkish coffee best dessert ever try everyone say buy say amazon course anything everything want get quality exceptional price low son tell everybody live amazon website look everyday catch bargain thank amazon allways bring international flavor home
1369,1369,1,0.8726,"snack, love, bar, price, chip, find, buy, try, eat, would",pleasant surprise bit hesitant read ingredient sure sound healthy would taste good word outstanding good crunch flavor right amount salt great see snack food available lot better usual chip nachos problem everyone like disappear quickly
1370,1370,1,0.5051,"snack, love, bar, price, chip, find, buy, try, eat, would",love tortilla chip good fashion corn chip salt curious fancy tortilla chip would fare even taste chip bag show company serious freshness tough little slippery almost open hand chip little hexagon diameter various seed clearly visible chip corn flavor dominant various element chip really blend well give unique flavor overly salty indeed quibble little salt would appreciate chip would excellent choice finger food higher end dinner party date evening want treat
1371,1371,1,0.6439,"snack, love, bar, price, chip, find, buy, try, eat, would",like flavor texture tortilla spicy taste bland olive chip small serve size bag enough quick satisfying snack
1372,1372,1,0.7847,"snack, love, bar, price, chip, find, buy, try, eat, would",chip cracker tasty however people allergy problem digest corn like need beware read front packet seem make without wheat corn true main ingredient corn
1373,1373,0,0.6306,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",chip great taste try like sweet potato
1374,1374,1,0.9166,"snack, love, bar, price, chip, find, buy, try, eat, would",munch chip type try keep salt finger key like way taste flavor mainly stone ground corn tell ingredient well nice nutty aftertaste like texture right amount crunch chip overly salty either another plus nutrition wise chip rank among healthy version calories one ounce serve lot less normal see similar product amount fat sodium lot lower get fiber average daily requirement trans fat cholesterol preservative etc seem foodshouldtastegood company make sincere effort produce healthy product possible give ingredient requirement make something taste good one reviewer say chip hard taste stale experience chip taste fresh crunchy mean harder crunchier regular tortilla chip expiration date bag november preservative seem odd bag reviewer try expiration date year away hesitation would price currently chip stock amazon pricing give would say evaluate whether wanted pay much chip even though seem better health brand taste good well
1375,1375,0,0.9003,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",get home long trip face make dinner luckily velveeta cheesy skillet dinner sit pantry brown pound chicken breast strip follow direction quick easy dinner family everyone enjoy ingredient come different packet pasta orzo think seasoning dehyrated broccoli velveeta cheese sauce brown chicken add season pasta along cups water cover minute add dehydrate broccoli cook another minute remove heat add cheese sauce kid love plenty everyone find better taste chicken helper easier prepare complaint miniscule amount broccoli like sprinkle dry parsley broccoli floret course always add fresh frozen broccoli veggie make healthier heartier overall good choice hectic night much time cook lot hungry little mouth fee
1376,1376,2,0.7207,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",want apricot try make gluten free granola would prefer unsulphered apricot nasty look think family would eat everyone love good price
1377,1377,0,0.8441,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",mix season hunt bbq sauce mix taste great chicken problem product enviroment live bit humid season absorbs humidity ambient hardens
1378,1378,0,0.7999,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",make friend gluten intolerant everybody love taste like gluten free excellent job nuffins mix convenience quality health
1379,1379,1,0.5262,"snack, love, bar, price, chip, find, buy, try, eat, would",great taste rich flavor perfect make nice hot cup mocha buy test hershey syrup mocha incredible distinct taste difference noticeable much richer taste like chocolate less sugary hershey syrup
1380,1380,0,0.847,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",gerber peach cobbler taste amaze like real peach cobbler without added sugar butter husband try see daughter like much quickly figure best taste baby food purchase great price
1381,1381,0,0.8466,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",soup quick tasty microwave time let sit minute tofu seaweed mature full blossom purchase think miso soup least related miso soup get local oriental restaurant
1382,1382,0,0.7924,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",definitely buy sent deploy soldier share boy love great flavour
1383,1383,2,0.625,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",expensive calorie one food actually eat strenuous exercise bike also like roll sleep bag summit mountain tasty indeed
1384,1384,1,0.8511,"snack, love, bar, price, chip, find, buy, try, eat, would",really yummy instant coffee like fine powdery texture however convince organic coffee amazon description state say anything regard organic ingredient maybe since produce outside label order due
1385,1385,1,0.8176,"snack, love, bar, price, chip, find, buy, try, eat, would",taste fantastic amazon sell less expensive price local health food store thank amazon
1386,1386,1,0.5085,"snack, love, bar, price, chip, find, buy, try, eat, would",grape tasty right mixture sweet tart light good ate whole bag day purchase
1387,1387,0,0.884,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",coffee flavor personal love taste coffee give one friend work thought much strong freely admit problem drinking company supply coffee sits big metal coffee urn day friend drink kona blend black love huge coffee snob drink maxwell house french roast home look forward good taste cup coffee work really fit bill put sweetener cream coffee important get coffee flavor stand add ingredient even cream sugar flavor bold smooth
1388,1388,0,0.7902,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",chocorooms good tasty cholesterol kid love perfect size think get lot sweet
1389,1389,1,0.839,"snack, love, bar, price, chip, find, buy, try, eat, would",pretty tasty dont stick teeth like fruit snack huge plus even better natural good buy sure soon box run
1390,1390,2,0.7302,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",smell spinach seem fresh taste wonderful fed son babyfood stage give preschooler snack often reach snack happy offer something cheerio graham cracker
1391,1391,1,0.4951,"snack, love, bar, price, chip, find, buy, try, eat, would",son love pouch quick easy way get fruits veggie picky eater love flavor grab eat entire pouch love organic healthy fruit overpower veggie help make flavor acceptable younger child easy grab way door quick snack complement eat highly recommend
1392,1392,0,0.8724,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",use carry large jar local store never saw year ago deeply sadden delicious brie cracker though found allergic dairy also use glaze eaten french bread toast spoonful jar love stuff wish come big tub would last rest life
1393,1393,1,0.8458,"snack, love, bar, price, chip, find, buy, try, eat, would",first time ting friend tell since since end per bag give shoot daughter severe milk intolerance wheat allergy rare find something delicious daughter year old enjoy cheetos like friend taste wonderful thankful product like taste good help feel normal affordable could give star would
1394,1394,1,0.8211,"snack, love, bar, price, chip, find, buy, try, eat, would",chip odd texture taste nothing like corn chip season salsa flavor cheese even difficult give away people
1395,1395,1,0.5061,"snack, love, bar, price, chip, find, buy, try, eat, would",since vegetarian use meat rather bunch portobello mushroom whole onion turn fantastic leftover even better next day could use noodle box buy egg noodle separately add
1396,1396,2,0.747,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",phillippines come even though large bag fast two week
1397,1397,0,0.8617,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",much fresher usual sun maid buy store less sugar taste much higher quality continue buy bulk save hopefully seller read interview sends code discount since give generous review
1398,1398,0,0.8817,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",somewhat hard find macadamia syrup happen love particular flavor first order amazon different brand break discontinue give one try happy quite tasty come pump nice touch quite servings bottle perfect italian soda also practical standpoint use plastic bottle ship product make much less likely break transit
1399,1399,1,0.8329,"snack, love, bar, price, chip, find, buy, try, eat, would",absolutely delicious husband vanilla ice cream every night since arrive right blend chocolate raspberry
1400,1400,0,0.8179,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",love blueberry coffee good purchase get whole bean get ground send oil flavor make tough grinder
1401,1401,2,0.7221,"tea, dog, treat, food, love, buy, cat, coffee, eat, price",bought product vitacost really enjoy fresh healthy flavor decide purchse amazon bulk thereore cheaper sso worht try lot mix really impressed chocolate melt car
1402,1402,1,0.8093,"snack, love, bar, price, chip, find, buy, try, eat, would",husband love ketchup taste better regular heinz ketchup color texture exactly flavor better beat organic
1403,1403,1,0.8629,"snack, love, bar, price, chip, find, buy, try, eat, would",spice flavor hand hand usually add flavor packet make slightly soupy often discard little broth reduce sodium level spare digestive tract ravage taste bud also great meal egg stir near end could eat every day ala would dire consequence take nutritional drawback give price flavor
1404,1404,0,0.8562,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",like spicy noodle really feel like take time make come really close instant noodle best boil water toss noodle add vegie kamaboko tofu whatever like actually look like fancy bowl noodle less min
1405,1405,1,0.8182,"snack, love, bar, price, chip, find, buy, try, eat, would",faint heart get bore food claim spicy hot shin ramyun delivers hot get great taste buy pack year love every bite
1406,1406,0,0.8791,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",ramen good also buy neoguri also good choice like seafood would highly recommend microwave well use pyrex deployed ship send pretty quick relatively speak lol none ramen damage vertrep spicy definitely seriously spicy cook minimal water stay way love buy pretty much highlight day
1407,1407,0,0.7736,"coffee, tea, cup, love, price, buy, much, chocolate, try, really",enjoy noodle noodle spicy enough make nose run like noodle nice texture
